collected_at_utc,source_timestamp,ticker,spot,contracts,strikes,expirations,call_oi,put_oi,total_oi,net_gex,total_gex,call_gex,put_gex,call_wall_gex,put_wall_gex,zero_gamma,is_stale
2026-09-21T20:23:54.272025+00:00,2026-09-21T19:55:16.756474244+00:00,QQQ,741.535,4872,200,31,2964648.0,3461285.0,6425933.0,5352031793.02403,18075635266.290646,11713833529.65734,-6361801736.633307,740.0,700.0,718.8183717303091,False
2026-09-22T06:14:05.074313+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:15:06.474352+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:16:09.135710+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:17:14.281835+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:18:15.451974+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:19:27.341276+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:20:30.282216+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:21:32.541052+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:22:33.724432+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:23:35.030519+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:24:36.326006+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:25:37.670491+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:26:39.054143+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:27:40.353347+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:28:41.916133+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:31:30.215503+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:32:32.634945+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
