ticker,source_timestamp,spot,strike,percent_from_spot,net_gex,total_gex,call_gex,put_gex,call_oi,put_oi,total_oi,call_contracts,put_contracts,expirations,call_volume,put_volume,total_volume,flow_trades,flow_size,flow_premium,flow_net_premium,flow_call_premium,flow_put_premium,flow_sweep_count,flow_block_count,flow_avg_heat
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,739.0,-0.23557364545153925,103645766.32975546,109441128.11875233,106543447.2242539,-2897680.894498435,6383.0,128.0,6511.0,15,15,15,36292.0,0.0,36292.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,740.0,-0.10057442169707584,765575623.5042228,1072912344.3556587,919243983.9299407,-153668360.42571795,148915.0,55353.0,204268.0,31,31,31,62340.0,0.0,62340.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,741.0,0.03442480205738756,100625373.85397032,101280781.68649448,100953077.7702324,-327703.9162620794,4672.0,37.0,4709.0,15,15,15,37298.0,0.0,37298.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,742.0,0.16942402581185098,73261246.15278506,80461168.67826305,76861207.41552407,-3599961.2627389915,5327.0,442.0,5769.0,15,15,15,35949.0,0.0,35949.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,743.0,0.3044232495663144,80034143.81549363,82859900.59267011,81447022.20408188,-1412878.3885882408,5930.0,124.0,6054.0,15,15,15,30766.0,0.0,30766.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,744.0,0.4394224733207778,98904687.43070601,99414673.99298231,99159680.71184416,-254993.28113815305,7610.0,25.0,7635.0,15,15,15,45265.0,0.0,45265.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,745.0,0.5744216970752413,402181096.4081559,477146429.1593885,439663762.7837722,-37482666.37561628,63861.0,14220.0,78081.0,31,31,31,34887.0,0.0,34887.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,746.0,0.7094209208297046,48428064.26779667,49204153.1946831,48816108.731239885,-388044.4634432109,4838.0,42.0,4880.0,14,14,14,17642.0,0.0,17642.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,747.0,0.8444201445841679,40960537.83032454,49845158.85075706,45402848.3405408,-4442310.510216262,5034.0,489.0,5523.0,14,14,14,12546.0,0.0,12546.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,748.0,0.9794193683386314,101944118.6789279,109330663.04630768,105637390.86261779,-3693272.1836898928,8423.0,586.0,9009.0,14,14,14,26025.0,0.0,26025.0,0,0,0,0,0,0,0,0,0
